Date,Year,Month,Quarter,DayOfWeek
1/1/2024,2024,January,Q1,Monday
1/2/2024,2024,January,Q1,Tuesday
1/3/2024,2024,January,Q1,Wednesday
1/4/2024,2024,January,Q1,Thursday
1/5/2024,2024,January,Q1,Friday
1/6/2024,2024,January,Q1,Saturday
1/7/2024,2024,January,Q1,Sunday
1/8/2024,2024,January,Q1,Monday
1/9/2024,2024,January,Q1,Tuesday
1/10/2024,2024,January,Q1,Wednesday
1/11/2024,2024,January,Q1,Thursday
1/12/2024,2024,January,Q1,Friday
1/13/2024,2024,January,Q1,Saturday
1/14/2024,2024,January,Q1,Sunday
1/15/2024,2024,January,Q1,Monday
1/16/2024,2024,January,Q1,Tuesday
1/17/2024,2024,January,Q1,Wednesday
1/18/2024,2024,January,Q1,Thursday
1/19/2024,2024,January,Q1,Friday
1/20/2024,2024,January,Q1,Saturday
1/21/2024,2024,January,Q1,Sunday
1/22/2024,2024,January,Q1,Monday
1/23/2024,2024,January,Q1,Tuesday
1/24/2024,2024,January,Q1,Wednesday
1/25/2024,2024,January,Q1,Thursday
1/26/2024,2024,January,Q1,Friday
1/27/2024,2024,January,Q1,Saturday
1/28/2024,2024,January,Q1,Sunday
1/29/2024,2024,January,Q1,Monday
1/30/2024,2024,January,Q1,Tuesday
1/31/2024,2024,January,Q1,Wednesday
2/1/2024,2024,February,Q1,Thursday
2/2/2024,2024,February,Q1,Friday
2/3/2024,2024,February,Q1,Saturday
2/4/2024,2024,February,Q1,Sunday
2/5/2024,2024,February,Q1,Monday
2/6/2024,2024,February,Q1,Tuesday
2/7/2024,2024,February,Q1,Wednesday
2/8/2024,2024,February,Q1,Thursday
2/9/2024,2024,February,Q1,Friday
2/10/2024,2024,February,Q1,Saturday
2/11/2024,2024,February,Q1,Sunday
2/12/2024,2024,February,Q1,Monday
2/13/2024,2024,February,Q1,Tuesday
2/14/2024,2024,February,Q1,Wednesday
2/15/2024,2024,February,Q1,Thursday
2/16/2024,2024,February,Q1,Friday
2/17/2024,2024,February,Q1,Saturday
2/18/2024,2024,February,Q1,Sunday
2/19/2024,2024,February,Q1,Monday
